Index,Canonical Extinction Group,Space Group Numbers
0,"P - 1 1 (equiv: P 1 - 1, P 1 1 -)","[3, 6, 10]"
1,"P 21 1 1 (equiv: P 1 21 1, P 1 1 21)","[4, 11]"
2,"P b 1 1 (equiv: P c 1 1, P n 1 1, P 1 a 1, P 1 c 1, P 1 n 1, P 1 1 a, P 1 1 b, P 1 1 n)","[7, 13]"
3,"P 21/b 1 1 (equiv: P 21/c 1 1, P 21/n 1 1, P 1 21/a 1, P 1 21/c 1, P 1 21/n 1, P 1 1 21/a, P 1 1 21/b, P 1 1 21/n)",[14]
4,"C - 1 1 (equiv: B - 1 1, I - 1 1, C 1 - 1, A 1 - 1, I 1 - 1, B 1 1 -, A 1 1 -, I 1 1 -)","[5, 8, 12]"
5,"C n 1 1 (equiv: B b 1 1, I c 1 1, C 1 c 1, A 1 n 1, I 1 a 1, B 1 1 n, A 1 1 a, I 1 1 b)","[9, 15]"
6,P - - -,"[16, 25, 47]"
7,"P - - 21 (equiv: P - 21 -, P 21 - -)",[17]
8,"P - 21 21 (equiv: P 21 - 21, P 21 21 -)",[18]
9,P 21 21 21,[19]
10,"P - - a (equiv: P - - b, P - a -, P - c -, P b - -, P c - -)","[26, 28, 51]"
11,"P - - n (equiv: P - n -, P n - -)","[31, 59]"
12,"P - a a (equiv: P b - b, P c c -)","[27, 49]"
13,"P - a b (equiv: P - c a, P b - a, P b c -, P c - b, P c a -)","[29, 57]"
14,"P - a n (equiv: P - n a, P b - n, P c n -, P n - b, P n c -)","[30, 53]"
15,"P - c b (equiv: P b a -, P c - a)","[32, 55]"
16,"P - c n (equiv: P - n b, P b n -, P c - n, P n - a, P n a -)","[33, 62]"
17,"P - n n (equiv: P n - n, P n n -)","[34, 58]"
18,"P b a a (equiv: P b a b, P b c b, P c a a, P c c a, P c c b)",[54]
19,"P b a n (equiv: P c n a, P n c b)",[50]
20,P b c a (equiv: P c a b),[61]
21,"P b c n (equiv: P b n a, P c a n, P c n b, P n a b, P n c a)",[60]
22,"P b n b (equiv: P c c n, P n a a)",[56]
23,"P b n n (equiv: P c n n, P n a n, P n c n, P n n a, P n n b)",[52]
24,P n n n,[48]
25,"C - - - (equiv: B - - -, A - - -)","[21, 35, 38, 65]"
26,"C - - 21 (equiv: B - 21 -, A 21 - -)",[20]
27,"C - - (ab) (equiv: B - (ac)-, A(bc)- -)","[39, 67]"
28,"C - c - (equiv: C c - -, B - - b, B b - -, A - - a, A - a -)","[36, 40, 63]"
29,"C - c (ab) (equiv: C c - (ab), B - (ac)b, B b (ac)-, A(bc)- a, A(bc)a -)","[41, 64]"
30,"C c c - (equiv: B b - b, A - a a)","[37, 66]"
31,"C c c (ab) (equiv: B b (ac)b, A(bc)a a)",[68]
32,I - - -,"[23, 24, 44, 71]"
33,"I - - (ab) (equiv: I - (ac)-, I(bc)- -)","[46, 74]"
34,"I - c b (equiv: I c - a, I b a -)","[45, 72]"
35,I b c a,[73]
36,F - - -,"[22, 42, 69]"
37,"F - d d (equiv: F d - d, F d d -)",[43]
38,F d d d,[70]
39,P - - -,"[75, 81, 83, 89, 99, 111, 115, 123]"
40,P - 21 -,"[90, 113]"
41,P 42 - -,"[77, 84, 93]"
42,P 42 21 -,[94]
43,P 41 - -,"[76, 78, 91, 95]"
44,P 41 21 -,"[92, 96]"
45,P - - c,"[105, 112, 131]"
46,P - 21 c,[114]
47,P - b -,"[100, 117, 127]"
48,P - b c,"[106, 135]"
49,P - c -,"[101, 116, 132]"
50,P - c c,"[103, 124]"
51,P - n -,"[102, 118, 136]"
52,P - n c,"[104, 128]"
53,P n - -,"[85, 129]"
54,P 42/n - -,[86]
55,P n - c,[137]
56,P n b -,[125]
57,P n b c,[133]
58,P n c -,[138]
59,P n c c,[130]
60,P n n -,[134]
61,P n n c,[126]
62,I - - -,"[79, 82, 87, 97, 107, 119, 121, 139]"
63,I 41 - -,"[80, 98]"
64,I - - d,"[109, 122]"
65,I - c -,"[108, 120, 140]"
66,I - c d,[110]
67,I 41/a - -,[88]
68,I a - d,[141]
69,I a c d,[142]
70,P - - -,"[143, 147, 149, 150, 156, 157, 162, 164, 168, 174, 175, 177, 183, 187, 189, 191]"
71,P 31 - -,"[144, 145, 151, 152, 153, 154]"
72,P - - c,"[159, 163, 186, 190, 194]"
73,P - c -,"[158, 165, 185, 188, 193]"
74,"R (obv) - - (equiv: R (rev) - -, R - - -)","[146, 148, 155, 160, 166]"
75,"R (obv)- - c (equiv: R (rev)- - c, R - - c)","[161, 167]"
76,P 63 - -,"[173, 176, 182]"
77,P 62 - -,"[171, 172, 180, 181]"
78,P 61 - -,"[169, 170, 178, 179]"
79,P - c c,"[184, 192]"
80,P - - -,"[195, 200, 207, 215, 221]"
81,P 21 - -,[198]
82,P 42 - -,[208]
83,P 41 - -,"[212, 213]"
84,P - - n,"[218, 223]"
85,P a - -,[205]
86,P n - -,"[201, 224]"
87,P n - n,[222]
88,I - - -,"[197, 199, 204, 211, 217, 229]"
89,I 41 - -,[214]
90,I - - d,[220]
91,I a - -,[206]
92,I a - d,[230]
93,F - - -,"[196, 202, 209, 216, 225]"
94,F 41 - -,[210]
95,F - - c,"[219, 226]"
96,F d - -,"[203, 227]"
97,F d - c,[228]
98,P -,"[1, 2]"
