extinction_group,canonical_index,canonical_symbol,crystal_system,bitstring,active_features
1,0,"P - 1 1 (equiv: P 1 - 1, P 1 1 -)",Monoclinic,0100000100000000000000000000000000000,Sys_Monoclinic;Lattice_P
2,1,"P 21 1 1 (equiv: P 1 21 1, P 1 1 21)",Monoclinic,0100000100001000000000000000000000000,Sys_Monoclinic;Lattice_P;Pos1_21
3,2,"P b 1 1 (equiv: P c 1 1, P n 1 1, P 1 a 1, P 1 c 1, P 1 n 1, P 1 1 a, P 1 1 b, P 1 1 n)",Monoclinic,0100000100000000000010000000000000000,Sys_Monoclinic;Lattice_P;Pos1_b
4,3,"P 21/b 1 1 (equiv: P 21/c 1 1, P 21/n 1 1, P 1 21/a 1, P 1 21/c 1, P 1 21/n 1, P 1 1 21/a, P 1 1 21/b, P 1 1 21/n)",Monoclinic,0100000100001000000010000000000000000,Sys_Monoclinic;Lattice_P;Pos1_21;Pos1_b
5,4,"C - 1 1 (equiv: B - 1 1, I - 1 1, C 1 - 1, A 1 - 1, I 1 - 1, B 1 1 -, A 1 1 -, I 1 1 -)",Monoclinic,0100000000100000000000000000000000000,Sys_Monoclinic;Lattice_C
6,5,"C n 1 1 (equiv: B b 1 1, I c 1 1, C 1 c 1, A 1 n 1, I 1 a 1, B 1 1 n, A 1 1 a, I 1 1 b)",Monoclinic,0100000000100000000000010000000000000,Sys_Monoclinic;Lattice_C;Pos1_n
7,6,P - - -,Orthorhombic,0010000100000000000000000000000000000,Sys_Orthorhombic;Lattice_P
8,7,"P - - 21 (equiv: P - 21 -, P 21 - -)",Orthorhombic,0010000100000000000000000000001000000,Sys_Orthorhombic;Lattice_P;Pos3_21
9,8,"P - 21 21 (equiv: P 21 - 21, P 21 21 -)",Orthorhombic,0010000100000000000000001000001000000,Sys_Orthorhombic;Lattice_P;Pos2_21;Pos3_21
10,9,P 21 21 21,Orthorhombic,0010000100001000000000001000001000000,Sys_Orthorhombic;Lattice_P;Pos1_21;Pos2_21;Pos3_21
11,10,"P - - a (equiv: P - - b, P - a -, P - c -, P b - -, P c - -)",Orthorhombic,0010000100000000000000000000000100000,Sys_Orthorhombic;Lattice_P;Pos3_a
12,11,"P - - n (equiv: P - n -, P n - -)",Orthorhombic,0010000100000000000000000000000000010,Sys_Orthorhombic;Lattice_P;Pos3_n
13,12,"P - a a (equiv: P b - b, P c c -)",Orthorhombic,0010000100000000000000000100000100000,Sys_Orthorhombic;Lattice_P;Pos2_a;Pos3_a
