2theta,intensity
5.0,78.48837
5.01,56.686047
5.02,81.39535
5.03,53.779068
5.04,65.406975
5.05,74.12791
5.06,93.023254
5.07,69.76744
5.08,84.30232
5.09,59.59302
5.1,50.872093
5.11,63.953487
5.12,68.31396
5.13,49.418606
5.14,62.5
5.15,66.860466
5.16,72.674416
5.17,63.953487
5.18,75.5814
5.19,82.84884
5.2,58.139534
5.21,63.953487
5.22,56.686047
5.23,63.953487
5.24,71.22093
5.25,71.22093
5.26,77.03488
5.27,52.32558
5.28,71.22093
5.29,72.674416
5.3,84.30232
5.31,93.023254
5.32,66.860466
5.33,59.59302
5.34,68.31396
5.35,56.686047
5.36,79.941864
5.37,72.674416
5.38,61.046513
5.39,68.31396
5.4,77.03488
5.41,65.406975
5.42,61.046513
5.43,47.965115
5.44,69.76744
5.45,74.12791
5.46,49.418606
5.47,56.686047
5.48,78.48837
5.49,77.03488
5.5,75.5814
5.51,63.953487
5.52,66.860466
5.53,68.31396
5.54,75.5814
5.55,63.953487
5.56,82.84884
5.57,53.779068
5.58,69.76744
5.59,63.953487
5.6,85.75581
5.61,66.860466
5.62,78.48837
5.63,65.406975
5.64,52.32558
5.65,84.30232
5.66,53.779068
5.67,68.31396
5.68,69.76744
5.69,59.59302
5.7,74.12791
5.71,61.046513
5.72,71.22093
5.73,98.83721
5.74,59.59302
5.75,68.31396
5.76,84.30232
5.77,71.22093
5.78,77.03488
5.79,55.23256
5.8,55.23256
5.81,91.56977
5.82,91.56977
5.83,72.674416
5.84,95.93023
5.85,82.84884
5.86,88.66279
5.87,62.5
5.88,74.12791
5.89,53.779068
5.9,74.12791
5.91,72.674416
5.92,59.59302
5.93,59.59302
5.94,61.046513
5.95,50.872093
5.96,65.406975
5.97,74.12791
5.98,56.686047
5.99,58.139534
6.0,68.31396
6.01,90.11628
6.02,69.76744
6.03,62.5
6.04,61.046513
6.05,63.953487
6.06,56.686047
6.07,81.39535
6.08,91.56977
6.09,74.12791
6.1,74.12791
6.11,74.12791
6.12,75.5814
6.13,59.59302
6.14,68.31396
6.15,75.5814
6.16,66.860466
6.17,78.48837
6.18,59.59302
6.19,66.860466
6.2,77.03488
6.21,68.31396
6.22,77.03488
6.23,85.75581
6.24,75.5814
6.25,71.22093
6.26,68.31396
6.27,71.22093
6.28,71.22093
6.29,88.66279
6.3,68.31396
6.31,68.31396
6.32,61.046513
6.33,85.75581
6.34,90.11628
6.35,75.5814
6.36,72.674416
6.37,84.30232
6.38,77.03488
6.39,79.941864
6.4,87.209305
6.41,66.860466
6.42,94.476746
6.43,50.872093
6.44,49.418606
6.45,63.953487
6.46,61.046513
6.47,71.22093
6.48,65.406975
6.49,77.03488
6.5,77.03488
6.51,87.209305
6.52,71.22093
6.53,95.93023
6.54,69.76744
6.55,72.674416
6.56,75.5814
6.57,69.76744
6.58,81.39535
6.59,72.674416
6.6,56.686047
6.61,77.03488
6.62,94.476746
6.63,56.686047
6.64,69.76744
6.65,84.30232
6.66,81.39535
6.67,77.03488
6.68,75.5814
6.69,85.75581
6.7,72.674416
6.71,74.12791
6.72,84.30232
6.73,84.30232
6.74,87.209305
6.75,50.872093
6.76,77.03488
6.77,75.5814
6.78,79.941864
6.79,84.30232
6.8,93.023254
6.81,85.75581
6.82,58.139534
6.83,85.75581
6.84,78.48837
6.85,71.22093
6.86,98.83721
6.87,81.39535
6.88,93.023254
6.89,72.674416
6.9,78.48837
6.91,79.941864
6.92,98.83721
6.93,81.39535
6.94,79.941864
6.95,109.01163
6.96,88.66279
6.97,106.10465
6.98,88.66279
6.99,95.93023
7.0,93.023254
7.01,90.11628
7.02,88.66279
7.03,85.75581
7.04,84.30232
7.05,103.19768
7.06,94.476746
7.07,69.76744
7.08,100.290695
7.09,94.476746
7.1,100.290695
7.11,84.30232
7.12,77.03488
7.13,87.209305
7.14,88.66279
7.15,85.75581
7.16,88.66279
7.17,66.860466
7.18,77.03488
7.19,90.11628
7.2,82.84884
7.21,79.941864
7.22,75.5814
7.23,103.19768
7.24,81.39535
7.25,97.38372
7.26,90.11628
7.27,114.825584
7.28,75.5814
7.29,85.75581
7.3,93.023254
7.31,104.65116
7.32,85.75581
7.33,98.83721
7.34,91.56977
7.35,106.10465
7.36,78.48837
7.37,113.37209
7.38,75.5814
7.39,98.83721
7.4,97.38372
7.41,123.54651
7.42,101.74419
7.43,95.93023
7.44,78.48837
7.45,97.38372
7.46,87.209305
7.47,62.5
7.48,88.66279
7.49,94.476746
7.5,93.023254
7.51,97.38372
7.52,94.476746
7.53,109.01163
7.54,95.93023
7.55,104.65116
7.56,110.46512
7.57,95.93023
7.58,110.46512
7.59,94.476746
7.6,109.01163
7.61,129.36046
7.62,101.74419
7.63,110.46512
7.64,79.941864
7.65,100.290695
7.66,97.38372
7.67,95.93023
7.68,104.65116
7.69,90.11628
7.7,101.74419
7.71,94.476746
7.72,93.023254
7.73,88.66279
7.74,110.46512
7.75,68.31396
7.76,106.10465
7.77,95.93023
7.78,71.22093
7.79,107.558136
7.8,111.9186
7.81,95.93023
7.82,103.19768
7.83,95.93023
7.84,104.65116
7.85,88.66279
7.86,88.66279
7.87,90.11628
7.88,104.65116
7.89,109.01163
7.9,98.83721
7.91,100.290695
7.92,97.38372
7.93,97.38372
7.94,85.75581
7.95,77.03488
7.96,87.209305
7.97,106.10465
7.98,90.11628
7.99,100.290695
8.0,109.01163
8.01,93.023254
8.02,98.83721
8.03,95.93023
8.04,110.46512
8.05,82.84884
8.06,107.558136
8.07,79.941864
8.08,91.56977
8.09,93.023254
8.1,84.30232
8.11,97.38372
8.12,87.209305
8.13,84.30232
8.14,87.209305
8.15,91.56977
8.16,109.01163
8.17,101.74419
8.18,98.83721
8.19,55.23256
8.2,79.941864
8.21,74.12791
8.22,81.39535
8.23,90.11628
8.24,82.84884
8.25,91.56977
8.26,79.941864
8.27,106.10465
8.28,71.22093
8.29,75.5814
8.3,69.76744
8.31,79.941864
8.32,62.5
8.33,77.03488
8.34,82.84884
8.35,95.93023
8.36,88.66279
8.37,81.39535
8.38,93.023254
8.39,79.941864
8.4,98.83721
8.41,100.290695
8.42,65.406975
8.43,78.48837
8.44,84.30232
8.45,94.476746
8.46,110.46512
8.47,68.31396
8.48,87.209305
8.49,87.209305
8.5,90.11628
8.51,109.01163
8.52,97.38372
8.53,84.30232
8.54,103.19768
8.55,90.11628
8.56,94.476746
8.57,77.03488
8.58,90.11628
8.59,85.75581
8.6,97.38372
8.61,78.48837
8.62,100.290695
8.63,95.93023
8.64,85.75581
8.65,75.5814
8.66,78.48837
8.67,69.76744
8.68,77.03488
8.69,100.290695
8.7,78.48837
8.71,114.825584
8.72,85.75581
8.73,90.11628
8.74,95.93023
8.75,85.75581
8.76,91.56977
8.77,103.19768
8.78,94.476746
8.79,87.209305
8.8,75.5814
8.81,81.39535
8.82,87.209305
8.83,88.66279
8.84,78.48837
8.85,103.19768
8.86,103.19768
8.87,95.93023
8.88,94.476746
8.89,78.48837
8.9,103.19768
8.91,87.209305
8.92,78.48837
8.93,113.37209
8.94,98.83721
8.95,88.66279
8.96,98.83721
8.97,78.48837
8.98,74.12791
8.99,94.476746
9.0,78.48837
9.01,75.5814
9.02,75.5814
9.03,90.11628
9.04,84.30232
9.05,71.22093
9.06,84.30232
9.07,95.93023
9.08,78.48837
9.09,104.65116
9.1,71.22093
9.11,62.5
9.12,97.38372
9.13,87.209305
9.14,66.860466
9.15,94.476746
9.16,88.66279
9.17,75.5814
9.18,78.48837
9.19,90.11628
9.2,79.941864
9.21,95.93023
9.22,81.39535
9.23,98.83721
9.24,90.11628
9.25,88.66279
9.26,91.56977
9.27,93.023254
9.28,65.406975
9.29,98.83721
9.3,85.75581
9.31,101.74419
9.32,90.11628
9.33,85.75581
9.34,101.74419
9.35,85.75581
9.36,77.03488
9.37,104.65116
9.38,81.39535
9.39,94.476746
9.4,81.39535
9.41,81.39535
9.42,94.476746
