2theta,intensity
5.0,71.95301
5.01,71.95301
5.02,61.674007
5.03,91.04259
5.04,67.54772
5.05,83.70044
5.06,85.16887
5.07,64.61086
5.08,82.23201
5.09,77.82673
5.1,73.42144
5.11,66.07929
5.12,57.268723
5.13,83.70044
5.14,70.48458
5.15,96.9163
5.16,57.268723
5.17,86.6373
5.18,95.44787
5.19,79.29515
5.2,71.95301
5.21,64.61086
5.22,77.82673
5.23,76.3583
5.24,85.16887
5.25,77.82673
5.26,70.48458
5.27,85.16887
5.28,88.10573
5.29,74.88987
5.3,69.01615
5.31,80.76358
5.32,73.42144
5.33,77.82673
5.34,85.16887
5.35,83.70044
5.36,58.737152
5.37,67.54772
5.38,88.10573
5.39,80.76358
5.4,83.70044
5.41,71.95301
5.42,77.82673
5.43,66.07929
5.44,98.38473
5.45,92.51102
5.46,67.54772
5.47,73.42144
5.48,73.42144
5.49,69.01615
5.5,69.01615
5.51,58.737152
5.52,76.3583
5.53,74.88987
5.54,101.32159
5.55,74.88987
5.56,92.51102
5.57,71.95301
5.58,79.29515
5.59,83.70044
5.6,86.6373
5.61,83.70044
5.62,66.07929
5.63,92.51102
5.64,88.10573
5.65,83.70044
5.66,64.61086
5.67,73.42144
5.68,55.800293
5.69,85.16887
5.7,91.04259
5.71,77.82673
5.72,77.82673
5.73,77.82673
5.74,76.3583
5.75,83.70044
5.76,70.48458
5.77,74.88987
5.78,67.54772
5.79,74.88987
5.8,63.142437
5.81,74.88987
5.82,70.48458
5.83,69.01615
5.84,76.3583
5.85,83.70044
5.86,83.70044
5.87,71.95301
5.88,64.61086
5.89,88.10573
5.9,74.88987
5.91,70.48458
5.92,86.6373
5.93,80.76358
5.94,88.10573
5.95,83.70044
5.96,83.70044
5.97,80.76358
5.98,96.9163
5.99,88.10573
6.0,89.57416
6.01,86.6373
6.02,70.48458
6.03,64.61086
6.04,74.88987
6.05,66.07929
6.06,80.76358
6.07,82.23201
6.08,82.23201
6.09,76.3583
6.1,67.54772
6.11,70.48458
6.12,88.10573
6.13,76.3583
6.14,64.61086
6.15,86.6373
6.16,70.48458
6.17,74.88987
6.18,64.61086
6.19,85.16887
6.2,69.01615
