temperature,top1_fold_mean,top5_fold_mean,ece_fold_mean,nll_fold_mean,top1_weighted,top5_weighted,ece_weighted,nll_weighted
1,0.0571630949,0.2994625094,0.3725602619,5.1801180840,0.0584615385,0.2984615385,0.3719943427,5.1992307105
1.5,0.0601481696,0.3502674630,0.2597031959,4.3382042885,0.0615384615,0.3476923077,0.2586557932,4.3540701279
2,0.0633739760,0.3711117614,0.2036587036,4.0259758949,0.0646153846,0.3692307692,0.2026594864,4.0403983270
2.5,0.0882175003,0.4114749225,0.1406835964,3.8772406578,0.0892307692,0.4092307692,0.1397023732,3.8908336229
3,0.1008393788,0.4385046182,0.1059825745,3.7953613758,0.1015384615,0.4369230769,0.1052955456,3.8084046709
3.5,0.1072909917,0.4320017813,0.0868425835,3.7457385063,0.1076923077,0.4307692308,0.0867225106,3.7583870690
4,0.1142752923,0.4320017813,0.0706619765,3.7135033131,0.1138461538,0.4307692308,0.0707343888,3.7258535275
4.5,0.1145160241,0.4290167067,0.0604804659,3.6914341927,0.1138461538,0.4276923077,0.0609196521,3.7035507004
5,0.1087866067,0.4260316320,0.0728844805,3.6756900787,0.1076923077,0.4246153846,0.0729848531,3.6876184713
5.5,0.1117716813,0.4260316320,0.0598915638,3.6640804291,0.1107692308,0.4246153846,0.0603626756,3.6758541085
6,0.1117716813,0.4260316320,0.0592140133,3.6552847385,0.1107692308,0.4246153846,0.0594712401,3.6669289948
6.5,0.1117716813,0.4292574385,0.0549970494,3.6484677315,0.1107692308,0.4276923077,0.0552969836,3.6600020841
7,0.1117716813,0.4326472690,0.0541515900,3.6430821896,0.1107692308,0.4307692308,0.0544900174,3.6545220859
7.5,0.1117716813,0.4326472690,0.0526127770,3.6387571812,0.1107692308,0.4307692308,0.0529214269,3.6501150175
8,0.1117716813,0.4356323436,0.0512934868,3.6352334976,0.1107692308,0.4338461538,0.0515764734,3.6465193925
8.5,0.1151615118,0.4356323436,0.0467466167,3.6323274136,0.1138461538,0.4338461538,0.0473192489,3.6435497416
9,0.1211316611,0.4386174183,0.0415629006,3.6299032688,0.1200000000,0.4369230769,0.0419874040,3.6410690124
9.5,0.1239888039,0.4386174183,0.0407595100,3.6278612614,0.1230769231,0.4369230769,0.0411691558,3.6389762864
10,0.1269738786,0.4386174183,0.0362911134,3.6261268139,0.1261538462,0.4369230769,0.0365327745,3.6371961843
11,0.1269738786,0.4386174183,0.0285564517,3.6233600140,0.1261538462,0.4369230769,0.0286860509,3.6343503651
12,0.1269738786,0.4386174183,0.0272549485,3.6212766171,0.1261538462,0.4369230769,0.0273519922,3.6322010488
13,0.1303637091,0.4386174183,0.0266456022,3.6196715355,0.1292307692,0.4369230769,0.0271288778,3.6305401032
14,0.1303637091,0.4386174183,0.0290979356,3.6184110165,0.1292307692,0.4369230769,0.0293767438,3.6292316840
15,0.1303637091,0.4386174183,0.0314900734,3.6174040318,0.1292307692,0.4369230769,0.0320003482,3.6281831242
16,0.1303637091,0.4386174183,0.0422000157,3.6165890694,0.1292307692,0.4369230769,0.0423056186,3.6273317638
18,0.1303637091,0.4387453500,0.0338405062,3.6153661251,0.1292307692,0.4369230769,0.0332191469,3.6260481277
20,0.1269738786,0.4387453500,0.0380159879,3.6145100594,0.1261538462,0.4369230769,0.0380129413,3.6251434605
25,0.1269738786,0.4387453500,0.0357373082,3.6132433891,0.1261538462,0.4369230769,0.0362099147,3.6237892378
30,0.1269738786,0.4387453500,0.0418760887,3.6125944138,0.1261538462,0.4369230769,0.0422442185,3.6230818250
40,0.1269738786,0.4387453500,0.0265647156,3.6120033741,0.1261538462,0.4369230769,0.0265258726,3.6224176752
50,0.1269738786,0.4387453500,0.0230397910,3.6117659569,0.1261538462,0.4369230769,0.0230234205,3.6221363706
75,0.1269738786,0.4387453500,0.0227878839,3.6115865707,0.1261538462,0.4369230769,0.0227614570,3.6218984479
100,0.1269738786,0.4387453500,0.0226617560,3.6115555286,0.1261538462,0.4369230769,0.0226303039,3.6218381251
150,0.1269738786,0.4387453500,0.0225355074,3.6115633965,0.1261538462,0.4369230769,0.0224990320,3.6218167034
200,0.1269738786,0.4387453500,0.0224723489,3.6115823269,0.1261538462,0.4369230769,0.0224333621,3.6218209927
