benchmark,residual_scope,intensity_low,intensity_high,n_pairs,median_intensity,variance_estimate,sigma_estimate
RRUFF-473,all_model_residual,0.0,0.001,846933,0.0,2.2395045287979528e-17,4.732340360538274e-09
RRUFF-473,all_model_residual,0.001,0.003,0,nan,nan,nan
RRUFF-473,all_model_residual,0.003,0.01,31672,0.004999999888241291,4.698199760789162e-11,6.8543415152654615e-06
RRUFF-473,all_model_residual,0.01,0.03,35360,0.019999999552965164,1.0889681658530458e-10,1.0435363749544363e-05
RRUFF-473,all_model_residual,0.03,0.1,58254,0.06000000052154064,1.5450231741354315e-10,1.24298961143504e-05
RRUFF-473,all_model_residual,0.1,0.3,86267,0.1850000023841858,9.555310547773033e-10,3.091166535108232e-05
RRUFF-473,all_model_residual,0.3,1.000001,151731,0.5900000035762787,3.956192627360016e-09,6.289827205384911e-05
RRUFF-473,off_peak_only,0.0,0.001,762471,0.0,6.756954580954607e-18,2.599414276515886e-09
RRUFF-473,off_peak_only,0.001,0.003,0,nan,nan,nan
RRUFF-473,off_peak_only,0.003,0.01,15641,0.004999999888241291,6.731009559180992e-11,8.204273008122653e-06
RRUFF-473,off_peak_only,0.01,0.03,18080,0.019999999552965164,1.0990546136299545e-10,1.0483580560237779e-05
RRUFF-473,off_peak_only,0.03,0.1,31828,0.06000000052154064,4.316827715698615e-10,2.077697695936205e-05
RRUFF-473,off_peak_only,0.1,0.3,48297,0.1850000023841858,1.1209743813946916e-09,3.348095550301233e-05
RRUFF-473,off_peak_only,0.3,1.000001,81751,0.5800000131130219,7.024680278389582e-09,8.381336575027626e-05
RRUFF-325,all_model_residual,0.0,0.001,704135,0.0,8.547414494255921e-18,2.9235961578603708e-09
RRUFF-325,all_model_residual,0.001,0.003,0,nan,nan,nan
RRUFF-325,all_model_residual,0.003,0.01,24340,0.004999999888241291,4.715038788379901e-11,6.866614004281805e-06
RRUFF-325,all_model_residual,0.01,0.03,26645,0.019999999552965164,1.0915264847847648e-10,1.044761448745485e-05
RRUFF-325,all_model_residual,0.03,0.1,41341,0.05999999865889549,2.4008963385522905e-10,1.5494826035010173e-05
RRUFF-325,all_model_residual,0.1,0.3,59085,0.1850000023841858,9.892467940780522e-10,3.14522939398393e-05
RRUFF-325,all_model_residual,0.3,1.000001,101094,0.5900000035762787,5.3481354500407174e-09,7.313094727979885e-05
RRUFF-325,off_peak_only,0.0,0.001,638360,0.0,2.4705721729045123e-18,1.5718053864599498e-09
RRUFF-325,off_peak_only,0.001,0.003,0,nan,nan,nan
RRUFF-325,off_peak_only,0.003,0.01,12164,0.004999999888241291,7.421041651808098e-11,8.614546797021941e-06
RRUFF-325,off_peak_only,0.01,0.03,13467,0.019999999552965164,1.0990546136299545e-10,1.0483580560237779e-05
RRUFF-325,off_peak_only,0.03,0.1,21398,0.06000000052154064,4.396218454519818e-10,2.0967161120475558e-05
RRUFF-325,off_peak_only,0.1,0.3,32111,0.1850000023841858,1.7584873818079272e-09,4.1934322240951115e-05
RRUFF-325,off_peak_only,0.3,1.000001,53674,0.5850000083446503,8.902641048718596e-09,9.435380781250218e-05
